t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,11200.0,0.0,0.0,23100.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,70000.0,23100.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082702785297,5.499689668696525e6,255.72405806625238,111.56592123502467,2.4999501838989235e6,60.62328394598422,11199.874503463063,0.39158029073368916,-4.366056153870173e-20,23099.98151157464,0.2147021595257836,1.1161486351483652e-6,41.265427321637816,5.499999934859211e8,5.801705677091952,0.6736609240121105,1.2000000025295592e6,0.0,69999.99974011266,23099.999999302203,5.566435061942506e-7,5.1156730392069835e-21,0.00025894648970552594,-2.962812345057484e-48,41999.99999742835,2.535788080076062e-6,1.117579160911143e-12,1.3005183065266358e-12,1.2060860544976069e-12,400000.0,5.8345067049423765e-19,1.1417051034432312e-15,3.060681118793489e-9,8.016282278180762e-7,1.9988006010790637e-23
1.0,1663.5772078388914,5.499369564259507e6,468.34338059425875,346.49201833483437,2.4998867838224648e6,129.03737646793886,11199.51623533256,1.4991581987127574,0.0010079375248094797,23099.928729666542,0.8026228786915818,8.186281189056705e-6,96.92503019508169,5.499999736745182e8,21.243990603801816,4.522595987145213,1.2000000064818591e6,0.003459504167619862,69999.99406544118,23099.999952254697,3.796837972122897e-5,2.096500947696475e-6,0.006563508897556279,7.577921918517187e-10,41999.99986623635,0.00013000382125755844,1.1700672070491857e-10,1.3580137280363425e-10,1.2577551650794657e-10,400000.0,6.672956124487358e-16,3.052261631402415e-13,9.918293555528542e-8,9.892058282943809e-6,6.621785631981105e-9
1.5,3582.7369122789432,5.498707042209916e6,943.1763035203915,768.0285412229741,2.4997574583134237e6,268.7221476188456,11198.77521943226,3.7757343133845014,0.007506976704675471,23099.81955439591,1.9860240400547386,2.784301088669563e-5,228.09593699694796,5.499999274964502e8,54.998368912611994,14.832372095193943,1.199999988693461e6,0.035422837282022286,69999.98210336476,23099.999485936452,0.00040750441742732984,0.00023983939204444833,0.04214227193242901,1.079494824798053e-7,41999.99870510687,0.0012405183440256998,1.688583305411706e-9,1.9546176352325907e-9,1.8079276638105203e-9,400000.0,7.542466377723141e-14,1.1717473556731659e-11,6.985557323815108e-7,4.276202424959977e-5,2.0595462531607726e-7
2.0,7715.350108709673,5.497254558246158e6,2006.0240318039462,1640.7640501582907,2.4994783336292426e6,572.2454034805334,11197.210405366266,8.570860465289108,0.025875742387816723,23099.588985288356,4.459405362723604,7.329144929044892e-5,534.6443804576709,5.499998187505767e8,133.02640062955672,39.49323094344384,1.199999945685253e6,0.10699158825128274,69999.95353667277,23099.997253724137,0.0021703844024663454,0.0017137424338645917,0.16273728683201194,1.7705668208339748e-6,41999.99345870859,0.006181956448678132,1.1136168290840219e-8,1.2857299411592741e-8,1.1877151566502543e-8,400000.0,3.3224245267336394e-12,1.825279616486875e-10,2.8234310240990514e-6,0.0001299656239006572,8.650451020038494e-7
2.5,16526.76941941348,5.494130456525043e6,4294.263590897465,3506.8783442906292,2.4988805204821313e6,1223.309822543217,11193.869772892176,18.797333923612133,0.06882393942503065,23099.09665602615,9.721278501741455,0.00017325184662529193,1225.9481326466469,5.499995670468795e8,311.8344938222591,97.04036104749457,1.1999998450230807e6,0.26984240915382945,69999.864047894,23099.98965767984,0.008150834076241065,0.006374913934756806,0.4947988239113714,1.2561386789933546e-5,41999.97614051293,0.022275599684087922,4.899378218807122e-8,5.642838345297644e-8,5.2064161039508254e-8,400000.0,8.057232768244698e-11,1.705293255458537e-9,8.788776510686458e-6,0.0003411561836627287,2.4415345281776086e-6
3.0,35362.10649178769,5.487449481427541e6,9184.445700587743,7500.630413317884,2.4976059942038874e6,2611.888294850451,11186.736917703236,40.62253212428094,0.1638960583124965,23098.044985892695,20.943654158594093,0.0003893724182604042,2760.844195738519,5.499989961104786e8,714.2464319048024,228.76480619514138,1.1999996035585364e6,0.6471286587955527,69999.62166769474,23099.967991865597,0.025165197834562354,0.018478071792993774,1.3262274656150947,5.792259883470769e-5,41999.927549188404,0.06694097914341482,1.7015854646850451e-7,1.9554783280433473e-7,1.8022870577125958e-7,399999.99999999866,1.404095669183601e-9,1.2227159268311373e-8,2.3861388575427776e-5,0.000834293781761129,6.1139214939766535e-6
3.5,75626.9554482094,5.473192516785157e6,19614.388188722107,16033.259263304994,2.4949015342145287e6,5559.4152354785665,11171.550627726985,87.07717518589632,0.3701396430829136,23095.803833970625,44.83807955937635,0.0008530196479075767,6138.541371676823,5.499977201681311e8,1608.1365174296243,525.3678421179412,1.1999990387958596e6,1.50641648167369,69999.02426822789,23099.911969564848,0.06907511123640415,0.04777598167272076,3.3062888941280266,0.00020768784828950935,41999.80307731324,0.18040069883333038,5.096335173903015e-7,5.845464549156997e-7,5.382447414750983e-7,399999.9999999798,2.026155685826908e-8,7.563017229143562e-8,5.993910273349544e-5,0.0019604254841232055,1.456505734263897e-5
4.0,161580.59862667182,5.442875022336759e6,41775.58039716862,34218.011277628146,2.4892174012476467e6,11758.347373004093,11139.413915360807,185.35877562754197,0.8132469951346981,23091.051816791834,95.46100030370106,0.001842343893201762,13520.93873739297,5.499948989956456e8,3575.5398477805174,1184.9191616548826,1.1999977494788368e6,3.431609359579403,69997.61938027988,23099.775356183454,0.17601201959380725,0.11623027175015141,7.880536726083995,0.0006361427599059473,41999.501269698325,0.45380066785347833,1.3851423618000596e-6,1.5861434597936033e-6,1.459337212891446e-6,399999.99999974057,2.604131215600118e-7,4.274082803483807e-7,0.00014355591231913033,0.004491064334935731,3.3696502285434495e-5
4.5,344491.30684118374,5.378884951421284e6,88471.3714105156,72780.38549062997,2.4775058319610576e6,24546.51474922823,11072.257937756549,390.661731839207,1.7588534629607864,23081.08019601535,201.55134225414827,0.003939164472099148,29560.58686690686,5.499887120942369e8,7874.799943483597,2637.758251620304,1.1999948542975965e6,7.695375336692743,69994.40630895183,23099.45453452304,0.4269879495715944,0.27252970440553825,18.232195525680808,0.0017572033530048935,41998.79502544049,1.090713088775883,3.5246718630964724e-6,4.030641224816825e-6,3.70595006197959e-6,399999.9999969124,3.099965512704904e-6,2.2750511610372244e-6,0.0003332206554771173,0.01011023364070424,7.640815157611508e-5
