t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
27.093358945682994,0.0,5.499767695600582e6,0.0,0.0,2.290972832927579e6,1161.935866984256,1713.81123893297,20888.72806688131,5642.837099678985,25379.997385416445,5412.938090446632,11.051334249349344,0.0,4.759831369321721e8,0.0,0.0,1.1306267183417804e6,411.5996835628642,87885.4624258249,200.24635598256907,112079.32901211182,279120.8537091114,228165.3284820336,25597.663081209957,22405.71025755558,134962.25818729616,10.290145009146162,9.641319453482643,8.083759552967269,406798.96324782155,18.455245735565327,3.364508361161126e-5,10.177221496736829,0.1883770621440361,0.033668720842230555
27.093358945682994,0.0,5.499767695600582e6,0.0,0.0,2.290972832927579e6,1161.935866984256,1713.81123893297,20888.72806688131,5642.837099678985,25379.997385416445,5412.938090446632,11.051334249349344,0.0,4.759831369321721e8,0.0,0.0,1.1306267183417804e6,411.5996835628642,87885.4624258249,200.24635598256907,112079.32901211182,279120.8537091114,228165.3284820336,25597.663081209957,22405.71025755558,134962.25818729616,10.290145009146162,9.641319453482643,8.083759552967269,406798.96324782155,18.455245735565327,3.364508361161126e-5,10.177221496736829,0.1883770621440361,0.033668720842230555
27.09363078109062,0.0,5.499767746113938e6,0.0,0.0,2.2909802195251337e6,1161.7779500613333,1713.8419279800717,20888.44534469465,5642.84772341701,25380.01355574432,5412.648621629141,11.051303287522426,0.0,4.759832375341245e8,0.0,0.0,1.1306291698533224e6,411.54374368068034,87885.90700689673,200.24219492795942,112077.88827429246,279117.18781408115,228162.5742611238,25597.93906342365,22403.7187489053,134957.0782582378,10.290253240425743,9.641366592524724,8.08377827181225,406798.92959471804,18.451934951667077,3.360851979382162e-5,10.177093063324905,0.18834341634909493,0.03366327805162586
27.09363078109062,0.0,5.499767746113938e6,0.0,0.0,2.2909802195251337e6,1161.7779500613333,1713.8419279800717,20888.44534469465,5642.84772341701,25380.01355574432,5412.648621629141,11.051303287522426,0.0,4.759832375341245e8,0.0,0.0,1.1306291698533224e6,411.54374368068034,87885.90700689673,200.24219492795942,112077.88827429246,279117.18781408115,228162.5742611238,25597.93906342365,22403.7187489053,134957.0782582378,10.290253240425743,9.641366592524724,8.08377827181225,406798.92959471804,18.451934951667077,3.360851979382162e-5,10.177093063324905,0.18834341634909493,0.03366327805162586
27.09416728982167,0.0,5.499767845777539e6,0.0,0.0,2.290994797338589e6,1161.4663398517268,1713.9024974411298,20887.887360104913,5642.868687099306,25380.04547041412,5412.0773549391815,11.051242173314575,0.0,4.759834360870547e8,0.0,0.0,1.1306340080318854e6,411.43336008093667,87886.78434791777,200.23398630982848,112075.04480836714,279109.9526977319,228157.13832490967,25598.48372202631,22399.78876452254,134946.85509670028,10.290466823155858,9.641459596698851,8.083815187964001,406798.8631739679,18.44540235634131,3.3536472072707373e-5,10.176839580726162,0.1882770288225456,0.03365253849887127
27.09416728982167,0.0,5.499767845777539e6,0.0,0.0,2.290994797338589e6,1161.4663398517268,1713.9024974411298,20887.887360104913,5642.868687099306,25380.04547041412,5412.0773549391815,11.051242173314575,0.0,4.759834360870547e8,0.0,0.0,1.1306340080318854e6,411.43336008093667,87886.78434791777,200.23398630982848,112075.04480836714,279109.9526977319,228157.13832490967,25598.48372202631,22399.78876452254,134946.85509670028,10.290466823155858,9.641459596698851,8.083815187964001,406798.8631739679,18.44540235634131,3.3536472072707373e-5,10.176839580726162,0.1882770288225456,0.03365253849887127
27.095173195936894,0.0,5.499768032522671e6,0.0,0.0,2.2910221267011412e6,1160.882323683454,1714.0160595577286,20886.841227531742,5642.907978226401,25380.105307778886,5411.00643910937,11.051127567045569,0.0,4.759838083546899e8,0.0,0.0,1.1306430782766407e6,411.22648044421396,87888.42889902533,200.21860967951937,112069.71374317285,279096.38781304227,228146.94621313145,25599.504785062734,22392.422405133344,134927.68836728125,10.290867170721263,9.641633857019876,8.083884301047322,406798.7386366621,18.433160554046694,3.340180500987054e-5,10.176364324755431,0.18815262103458316,0.033632412186398127
27.095173195936894,0.0,5.499768032522671e6,0.0,0.0,2.2910221267011412e6,1160.882323683454,1714.0160595577286,20886.841227531742,5642.907978226401,25380.105307778886,5411.00643910937,11.051127567045569,0.0,4.759838083546899e8,0.0,0.0,1.1306430782766407e6,411.22648044421396,87888.42889902533,200.21860967951937,112069.71374317285,279096.38781304227,228146.94621313145,25599.504785062734,22392.422405133344,134927.68836728125,10.290867170721263,9.641633857019876,8.083884301047322,406798.7386366621,18.433160554046694,3.340180500987054e-5,10.176364324755431,0.18815262103458316,0.033632412186398127
27.09694800497388,0.0,5.499768361647342e6,0.0,0.0,2.2910703375955415e6,1159.8526084185437,1714.21642649687,20884.99556702323,5642.977258787986,25380.210884762655,5409.117431330554,11.050925285307548,0.0,4.759844651748046e8,0.0,0.0,1.1306590788185946e6,410.8617180771679,87891.32930073113,200.19152317259608,112060.30824742478,279072.4550890581,228128.96268641227,25601.305944424923,22379.43168253273,134893.87332342842,10.291573217930077,9.641940956608503,8.084005920829114,406798.5188907897,18.411581070981693,3.316551743138785e-5,10.175525792947868,0.1879333173638651,0.033596931412880136
27.09694800497388,0.0,5.499768361647342e6,0.0,0.0,2.2910703375955415e6,1159.8526084185437,1714.21642649687,20884.99556702323,5642.977258787986,25380.210884762655,5409.117431330554,11.050925285307548,0.0,4.759844651748046e8,0.0,0.0,1.1306590788185946e6,410.8617180771679,87891.32930073113,200.19152317259608,112060.30824742478,279072.4550890581,228128.96268641227,25601.305944424923,22379.43168253273,134893.87332342842,10.291573217930077,9.641940956608503,8.084005920829114,406798.5188907897,18.411581070981693,3.316551743138785e-5,10.175525792947868,0.1879333173638651,0.033596931412880136
