t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l,a7
7.0,1.1724414357537974e7,2.5776855838718736e6,1.9722839432381082e6,2.127188986931102e6,2.134626739794981e6,402786.8831550452,8424.766477106656,8399.198977617876,62.698347705601314,22634.686096548685,4782.3581156299,0.12359992480308714,1.140468572390157e6,5.495081607671505e8,331867.5671811262,120872.41405099967,1.199718451090906e6,377.05465492344,69520.05919045047,22999.152550798655,81.27588524234224,27.396101069372087,1665.9821019269643,0.45214582605227516,41877.06031055898,111.17382519051644,0.0004164335800412979,0.00047433898594854165,0.00043530019404748057,399999.14318441105,0.8608583560179501,0.014336292577373117,0.0308704719436112,0.49153086453621003,0.004006029261027717,5.803429841182576
7.5,1.9720471142075833e7,1.5987300251401388e6,2.471054052794548e6,3.200985829264451e6,2.0216264561536573e6,521620.29336412397,7228.163706579184,11948.454116454675,111.63279577667035,22387.92167143618,7177.4209004431905,0.21066774083372872,2.0465470471756775e6,5.49042337293581e8,635087.4711162054,241277.1434775295,1.1994044586684792e6,766.2173022088583,69118.48229976755,22894.57026913685,170.98791349011194,60.467018651467896,3345.23047523954,1.0021438940619107,41746.57294944566,231.80426539825802,0.0008979567257172777,0.0010221655790802423,0.0009377502679066358,399993.8727985615,6.158458081431122,0.05261121784952227,0.062461886761523575,1.0096536041914868,0.009037276567264422,6.008098982951231
8.0,2.91836692564533e7,1.0049383986092389e6,2.6319968813997256e6,4.1317642125824043e6,1.9160793096334087e6,622642.8658975213,5994.411356444517,15539.725092090091,184.12570942042777,22089.614681400864,9944.484078339987,0.3353636535232136,3.6154095810213313e6,5.482115818195654e8,1.1628802546591705e6,461337.8558447312,1.198761551983845e6,1520.9328376458272,68588.5248147701,22708.034067724322,345.16078244610003,138.066974041638,6314.740339036434,2.1739282779811044,41506.7209615148,461.48262157545014,0.0018765285890349531,0.002134296457229775,0.00195723353764006,399962.523777033,37.682575048487756,0.17474609844255326,0.11930025539913512,2.0146983480683196,0.022453941946277742,6.2027862928888835
8.0,2.91836692564533e7,1.0049383986092389e6,2.6319968813997256e6,4.1317642125824043e6,1.9160793096334087e6,622642.8658975213,5994.411356444517,15539.725092090091,184.12570942042777,22089.614681400864,9944.484078339987,0.3353636535232136,3.6154095810213313e6,5.482115818195654e8,1.1628802546591705e6,461337.8558447312,1.198761551983845e6,1520.9328376458272,68588.5248147701,22708.034067724322,345.16078244610003,138.066974041638,6314.740339036434,2.1739282779811044,41506.7209615148,461.48262157545014,0.0018765285890349531,0.002134296457229775,0.00195723353764006,399962.523777033,37.682575048487756,0.17474609844255326,0.11930025539913512,2.0146983480683196,0.022453941946277742,4.652089719666662
8.5,3.776115264513549e7,733551.6002293479,2.599134167402074e6,4.671882672733363e6,1.821299560162415e6,700493.5415835903,4842.206476010586,18803.502306727754,281.5423955176985,21753.333202274953,12895.096412126682,0.5013597504987919,5.671832183774394e6,5.468440376148053e8,1.9934970146611063e6,841214.6585691218,1.1975485873200863e6,2862.355111902037,68161.7348134565,22413.17141503027,659.9234064182102,346.1816614348748,11042.791604283688,4.582513002710074,41112.560886918895,864.1361016129258,0.00375867862507919,0.00426992943413631,0.003913435244921417,399817.4842039214,183.65799500565504,0.502197073331369,0.21246337687826283,3.922337144364117,0.0644325037161321,4.9129103817570385
9.0,4.316775774431768e7,622315.2179409296,2.527724705355545e6,4.786258376631031e6,1.7376773280011746e6,755641.3721333083,3840.886306612564,21531.492637381787,402.1176232923846,21392.602600035698,15858.885724246144,0.7095654750313861,8.739850078505797e6,5.447290885839692e8,3.2201258324691504e6,1.4443514019963392e6,1.1953412035275449e6,5159.477544260117,68260.8173115056,22004.325397298813,1185.3105399287192,964.5505303132383,17774.882437194326,9.296023391803548,40550.30762808746,1505.7533851435037,0.0071406527357097,0.008098712336341511,0.007416665118307911,399283.5485771633,721.557727444239,1.3226708536693474,0.35249087495300485,7.469013428000224,0.19941002873988561,5.161010670055222
9.0,4.316775774431768e7,622315.2179409296,2.527724705355545e6,4.786258376631031e6,1.7376773280011746e6,755641.3721333083,3840.886306612564,21531.492637381787,402.1176232923846,21392.602600035698,15858.885724246144,0.7095654750313861,8.739850078505797e6,5.447290885839692e8,3.2201258324691504e6,1.4443514019963392e6,1.1953412035275449e6,5159.477544260117,68260.8173115056,22004.325397298813,1185.3105399287192,964.5505303132383,17774.882437194326,9.296023391803548,40550.30762808746,1505.7533851435037,0.0071406527357097,0.008098712336341511,0.007416665118307911,399283.5485771633,721.557727444239,1.3226708536693474,0.35249087495300485,7.469013428000224,0.19941002873988561,3.8707580025414163
9.5,4.427084782293047e7,591723.6063626078,2.4603723791108285e6,4.564588054564536e6,1.6645412967594028e6,790994.2252309533,3013.825855092881,23662.561796942962,541.9760679299926,21018.96251553748,18703.887231349858,0.9586161195993823,1.2063524275931505e7,5.417022783143542e8,4.860219128244481e6,2.33267843765478e6,1.1917604584664572e6,8668.102283234306,68978.16081124352,21493.187593253064,2000.8364421589404,2775.728259318853,26426.842013778914,17.984465297493063,39864.60203902781,2434.0263752787782,0.012780305924687353,0.014464245240802146,0.013232407492534846,397790.7375444805,2227.913845257273,3.2269195521063554,0.5525360977322571,13.974856982391955,0.5923130887724006,4.169684662131865
10.0,4.13238750653251e7,615170.5229014176,2.394344053536014e6,4.13220948915201e6,1.6009602576141409e6,809916.4102047379,2354.4401975548585,25229.881334401573,696.3700300941417,20641.55481742873,21337.599931002213,1.2454969847891282,1.6761534740518901e7,5.375956257937803e8,6.942016563523432e6,3.517882140119282e6,1.1862149112472264e6,13817.38840243609,69508.10628184423,20886.369219420532,3198.641570370063,7238.215209980147,36583.28473775354,33.01600451097804,39153.21858563046,3664.682183386893,0.021516505932356697,0.024287779623692152,0.022191039804984353,394546.6866006088,5508.457783237827,7.562273556637543,0.8327715891409303,25.343777528795734,1.5315585778776415,4.454032496502009
10.0,4.13238750653251e7,615170.5229014176,2.394344053536014e6,4.13220948915201e6,1.6009602576141409e6,809916.4102047379,2354.4401975548585,25229.881334401573,696.3700300941417,20641.55481742873,21337.599931002213,1.2454969847891282,1.6761534740518901e7,5.375956257937803e8,6.942016563523432e6,3.517882140119282e6,1.1862149112472264e6,13817.38840243609,69508.10628184423,20886.369219420532,3198.641570370063,7238.215209980147,36583.28473775354,33.01600451097804,39153.21858563046,3664.682183386893,0.021516505932356697,0.024287779623692152,0.022191039804984353,394546.6866006088,5508.457783237827,7.562273556637543,0.8327715891409303,25.343777528795734,1.5315585778776415,3.340524372376507
